Sample,EMPO3,Genome,PRK00290
662.M3,Surface (saline),GCF_017368475.1,0.9309010503040352
1665.flipper.tag.40,Animal surface,GCF_904846715.1,0.9038500302358397
1578.O1.high0.36to0.41,Soil (non-saline),GCF_002094575.1,1.2356940498080429
933.N.1.2.H.E.3,Plant surface,GCF_014651675.1,1.011847433873362
1235.sp0379,Water (saline),GCF_017795885.1,1.1983881697587797
2192.H07a.Foot.3683.lane6.NoIndex.L006,Animal surface,GCF_910575295.1,0.9368037106380348
963.Iguana.117.051211.LAB.vial.666,Animal distal gut,GCF_905367745.1,0.4662046420359371
925.IJ5y,Surface (non-saline),GCF_002760475.1,1.8370265395516625
925.SB5z,Surface (non-saline),GCF_003959395.1,1.2986669013380538
910.CuracaoTurf1A,Animal corpus,GCF_002216855.1,1.3836930396348563
1717.10H.high.fertilizer,Soil (non-saline),GCF_905397275.1,1.4832370340527543
1197.SE.20101019.GY.LBNL8.BC.444.a,Sediment (saline),GCF_011813015.1,1.0962124186235669
933.BbC,Plant surface,GCF_014332515.1,1.0316804034789246
2192.H04a.Dog.Nose.1914.lane6.NoIndex.L006,Animal secretion,GCF_001945525.1,0.9329542837290412
1883.2011.56.Crump.Artic.LTREB.main.lane3.NoIndex,Water (saline),GCF_900102855.1,1.0689035180070876
1883.2007.209.Crump.Artic.LTREB.main.lane2.NoIndex,Surface (non-saline),GCF_012927405.1,1.0253570198576862
2192.H07a.Nose.3780.lane1.NoIndex.L001,Animal secretion,GCF_014201885.1,0.9110960188780544
2182.VHBJ0019,Animal distal gut,GCF_902143525.1,0.987949726401964
905.PLO6.t3.OSCOX.0to1cm.4,Sediment (saline),GCF_011813015.1,1.0078644452593368
1774.377.Skin.Puer,Animal surface,GCF_014490725.1,0.7403796516000075
1521.330.7.s.7.1.sequences,Water (non-saline),GCF_009905605.1,1.0958083113189765
1883.2007.369.Crump.Artic.LTREB.main.lane2.NoIndex,Sediment (non-saline),GCF_009394435.1,1.2063754503328783
550.L5S218.s.5.sequence,Animal secretion,GCF_017565785.1,0.901414325826329
910.CuracaoTurf4C,Plant corpus,GCF_910575295.1,1.238970099845781
2382.RU006.C181.RH.5.800.gp.9.12.lane8.NoIndex.L008.sequences,Plant corpus,GCF_903970945.1,1.9831950689111144
2080.S30D215,Water (saline),GCF_002250215.1,0.8224386478132982
925.SI2z,Surface (non-saline),GCF_018304805.1,1.5323684417525367
925.IA2y,Surface (non-saline),GCF_003959395.1,1.6388771096599102
1694.St3H1.r.EMPbird.v4.NoIndex.L001,Animal surface,GCF_002978655.1,1.0220560314399458
1481.NA.20.T8,Animal distal gut,GCF_910664865.1,1.0718708081459158
1235.sp1936,Water (saline),GCF_900143245.1,1.1026471534831723
1064.W.CJV224,Animal corpus,GCF_901873715.1,0.9918389445433528
1064.H.CJV204,Animal corpus,GCF_016100875.1,1.994551224477576
2229.S1.N2.4.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006,Plant surface,GCF_014651675.1,1.0156438051744228
1235.sp0736,Water (saline),GCF_000257665.1,1.0107147665116716
1747.RGZ.7172012.NN.saliva,Animal secretion,GCF_011058205.1,0.9470438872593312
1627.ZCCK3,Sediment (saline),GCF_017874355.1,1.0837143986020663
933.T.2.2.S.E.4,Plant surface,GCF_014651675.1,1.0090018097168687
2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences,Plant rhizosphere,GCF_009394435.1,1.0720482295007228
723.IC1.S1.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,Water (saline),GCF_900143245.1,1.5830027347904791
1632.E5C11.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,Animal surface,GCF_902386495.1,0.8936228432815401
1736.Y27.0510,Animal distal gut,GCF_900290205.1,1.0436105006412877
550.L2S172.s.2.sequence,Animal surface,GCF_015352455.1,1.002403603339899
1521.Sample9.s.7.1.sequences,Animal secretion,GCF_902506455.1,1.0
678.OA.mesocosm.416,Sediment (saline),GCF_900116175.1,1.2862930516955715
1240.0707T,Water (saline),GCF_004137705.1,1.0278547955785102
940.GH.Water,Water (non-saline),GCF_009905605.1,0.99598647603895
2229.S1.N33.EH4.Thomas.CMB.Seaweed.lane5.NoIndex.L005,Plant surface,GCF_900106865.1,1.01150212368253
990.KA2U.A.16,Soil (non-saline),GCF_002094495.1,1.3347676640105044
550.L6S47.s.6.sequence,Animal secretion,GCF_011058205.1,0.727688680864681
910.CuracaoCCA1A,Animal corpus,GCF_900699785.1,1.5834544847664436
1736.O17b.0611,Animal distal gut,GCF_910664865.1,0.992108497225388
1774.56Nasal23.10.09,Animal secretion,GCF_905397375.1,1.08704287915905
2192.H07a.Kitchen.Counter.3721.lane2.NoIndex.L002,Surface (non-saline),GCF_900447295.1,0.9076821971345984
1521.Sample20.s.7.1.sequences,Animal secretion,GCF_900094785.1,0.6468540667435695
2382.SH008.C6.HA.4.543.root.4.12.lane7.NoIndex.L007.sequences,Plant rhizosphere,GCF_009394435.1,1.0851793667342755
2182.Z1RA,Animal distal gut,GCF_910664865.1,1.000322720579906
1773.Columb.passer3.gizz.ugi,Animal proximal gut,GCF_902377585.1,0.9490279336033134
