Sample,PRK00290,latitude_deg,longitude_deg,EMPO1,EMPO2,EMPO3
662.M3,0.9309010503040352,48.38,-124.73,Free-living,Saline,Surface (saline)
1665.flipper.tag.40,0.9038500302358397,44.10369,-69.10893,Host-associated,Animal,Animal surface
1578.O1.high0.36to0.41,1.2356940498080429,71.247,-156.389,Free-living,Non-saline,Soil (non-saline)
933.N.1.2.H.E.3,1.011847433873362,-34.01925,151.2315,Host-associated,Plant,Plant surface
1235.sp0379,1.1983881697587797,78.933,11.883,Free-living,Saline,Water (saline)
2192.H07a.Foot.3683.lane6.NoIndex.L006,0.9368037106380348,41.88,-87.63,Host-associated,Animal,Animal surface
963.Iguana.117.051211.LAB.vial.666,0.4662046420359371,9.166,-79.837,Host-associated,Animal,Animal distal gut
925.IJ5y,1.8370265395516625,44.531,-110.876,Free-living,Non-saline,Surface (non-saline)
925.SB5z,1.2986669013380538,44.567,-110.863,Free-living,Non-saline,Surface (non-saline)
910.CuracaoTurf1A,1.3836930396348563,12.10975,-68.95636,Host-associated,Animal,Animal corpus
1717.10H.high.fertilizer,1.4832370340527543,0.0926,34.48,Free-living,Non-saline,Soil (non-saline)
1197.SE.20101019.GY.LBNL8.BC.444.a,1.0962124186235669,28.575208,-88.537842,Free-living,Saline,Sediment (saline)
933.BbC,1.0316804034789246,-33.991889,151.231,Host-associated,Plant,Plant surface
2192.H04a.Dog.Nose.1914.lane6.NoIndex.L006,0.9329542837290412,41.88,-87.63,Host-associated,Animal,Animal secretion
1883.2011.56.Crump.Artic.LTREB.main.lane3.NoIndex,1.0689035180070876,69.8633,-142.1862333,Free-living,Saline,Water (saline)
1883.2007.209.Crump.Artic.LTREB.main.lane2.NoIndex,1.0253570198576862,68.601493,-149.579071,Free-living,Non-saline,Surface (non-saline)
2192.H07a.Nose.3780.lane1.NoIndex.L001,0.9110960188780544,41.88,-87.63,Host-associated,Animal,Animal secretion
2182.VHBJ0019,0.987949726401964,39.94,116.34,Host-associated,Animal,Animal distal gut
905.PLO6.t3.OSCOX.0to1cm.4,1.0078644452593368,58.322,11.534,Free-living,Saline,Sediment (saline)
1774.377.Skin.Puer,0.7403796516000075,18.47,-66.11,Host-associated,Animal,Animal surface
1521.330.7.s.7.1.sequences,1.0958083113189765,46.35,-119.94,Free-living,Non-saline,Water (non-saline)
1883.2007.369.Crump.Artic.LTREB.main.lane2.NoIndex,1.2063754503328783,68.633232,-149.61149,Free-living,Non-saline,Sediment (non-saline)
550.L5S218.s.5.sequence,0.901414325826329,40.015,-105.271,Host-associated,Animal,Animal secretion
910.CuracaoTurf4C,1.238970099845781,12.10975,-68.95636,Host-associated,Plant,Plant corpus
2382.RU006.C181.RH.5.800.gp.9.12.lane8.NoIndex.L008.sequences,1.9831950689111144,41.00943,-72.49403,Host-associated,Plant,Plant corpus
2080.S30D215,0.8224386478132982,14.733,-52.333,Free-living,Saline,Water (saline)
925.SI2z,1.5323684417525367,44.567,-110.863,Free-living,Non-saline,Surface (non-saline)
925.IA2y,1.6388771096599102,44.532,-110.876,Free-living,Non-saline,Surface (non-saline)
1694.St3H1.r.EMPbird.v4.NoIndex.L001,1.0220560314399458,37.252803,-3.029153,Host-associated,Animal,Animal surface
1481.NA.20.T8,1.0718708081459158,40.7,14.5,Host-associated,Animal,Animal distal gut
1235.sp1936,1.1026471534831723,78.933,11.883,Free-living,Saline,Water (saline)
1064.W.CJV224,0.9918389445433528,18.22,-65.99,Host-associated,Animal,Animal corpus
1064.H.CJV204,1.994551224477576,18.22,-65.99,Host-associated,Animal,Animal corpus
2229.S1.N2.4.HP2.Thomas.CMB.Seaweed.lane6.NoIndex.L006,1.0156438051744228,-35.8052,150.2273,Host-associated,Plant,Plant surface
1235.sp0736,1.0107147665116716,78.933,11.883,Free-living,Saline,Water (saline)
1747.RGZ.7172012.NN.saliva,0.9470438872593312,40.42,-104.69,Host-associated,Animal,Animal secretion
1627.ZCCK3,1.0837143986020663,32.54,82.43,Free-living,Saline,Sediment (saline)
933.T.2.2.S.E.4,1.0090018097168687,-41.86463,148.278567,Host-associated,Plant,Plant surface
2382.MU002.C3.HA.2.482.rhizo.4.12.r1.lane7.NoIndex.L007.sequences,1.0720482295007228,41.06283,-72.45028,Host-associated,Plant,Plant rhizosphere
723.IC1.S1.G3.Catlin2.16Spool.110602.HWI.EAS137R.0375.s.5.1.sequence,1.5830027347904791,78.712,-104.878,Free-living,Saline,Water (saline)
1632.E5C11.Knight16sV4.JuannaBirdEMP.NoIndex.L005.R1.001.sequences,0.8936228432815401,37.25371111,-3.029825,Host-associated,Animal,Animal surface
1736.Y27.0510,1.0436105006412877,-23.82,31.44,Host-associated,Animal,Animal distal gut
550.L2S172.s.2.sequence,1.002403603339899,40.015,-105.271,Host-associated,Animal,Animal surface
1521.Sample9.s.7.1.sequences,1.0,19.9,-155.58,Host-associated,Animal,Animal secretion
678.OA.mesocosm.416,1.2862930516955715,50.338,-4.148,Free-living,Saline,Sediment (saline)
1240.0707T,1.0278547955785102,50.15,-4.13,Free-living,Saline,Water (saline)
940.GH.Water,0.99598647603895,39.19,-108.28,Free-living,Non-saline,Water (non-saline)
2229.S1.N33.EH4.Thomas.CMB.Seaweed.lane5.NoIndex.L005,1.01150212368253,-31.8379,152.7538,Host-associated,Plant,Plant surface
990.KA2U.A.16,1.3347676640105044,41.841111,-88.230357,Free-living,Non-saline,Soil (non-saline)
550.L6S47.s.6.sequence,0.727688680864681,40.015,-105.271,Host-associated,Animal,Animal secretion
910.CuracaoCCA1A,1.5834544847664436,12.10975,-68.95636,Host-associated,Animal,Animal corpus
1736.O17b.0611,0.992108497225388,-23.82,31.44,Host-associated,Animal,Animal distal gut
1774.56Nasal23.10.09,1.08704287915905,-2.4153,-64.9144,Host-associated,Animal,Animal secretion
